gene_symbol,Pum1
parameter_id,MGP_CSD_067_001
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1931749
analysis_id,g3jlosus27h8sd3
parameter_name,Snout size
pvalue,0.07094926
