parameter_name,Creatinine
mouse_life_stage,E9.5
parameter_id,HMGULA_CBC_005_001
gene_accession_id,MGI:95835
analysis_id,27j1k9wp4s2osnu
gene_symbol,Hspa5
mouse_strain,C57BL
pvalue,0.3756894
