analysis_id,3270e4viz4o9d52
mouse_life_stage,Early adult
gene_accession_id,MGI:3588214
parameter_id,IMPC_CSD_008_001
parameter_name,Coat - color pattern - back
pvalue,0.8391395
mouse_strain,C57BL
gene_symbol,Rufy4
