analysis_id,069k62kogd42c6g
parameter_id,IMPC_IMM_051_001
pvalue,0.4780327
gene_accession_id,MGI:894679
parameter_name,Monocytes
mouse_strain,C57BL
gene_symbol,Bach2
mouse_life_stage,Early adult
