gene_symbol,AU040320
analysis_id,59d48710u90090d
mouse_strain,C57BL
mouse_life_stage,Middle aged adult
parameter_id,MGP_IMM_013_001
parameter_name,Total CD8+ T cells - % of ab T cells
pvalue,0.26318
gene_accession_id,MGI:2140475
