parameter_name,Hematocrit
mouse_strain,C57BL
parameter_id,IMPC_HEM_004_001
gene_accession_id,MGI:3650254
analysis_id,30zb30rd8q5y729
mouse_life_stage,Early adult
gene_symbol,Zfp683
pvalue,0.4813175
