parameter_name,Limb morphology
mouse_life_stage,E12.5
parameter_id,IMPC_GEP_084_001
mouse_strain,C57BL
analysis_id,558aemuo3h92y36
pvalue,0.5020211
gene_accession_id,MGI:97838
gene_symbol,Eprs1
