parameter_name,Eosinophils
pvalue,0.6340631
gene_symbol,Ubxn11
parameter_id,IMPC_IMM_052_001
gene_accession_id,MGI:1914836
analysis_id,422g9umpl94qcpu
mouse_strain,C57BL
mouse_life_stage,Early adult
