parameter_name,Whole arena average speed
gene_accession_id,MGI:1917604
mouse_strain,C57BL
analysis_id,3nt91855esh83p4
gene_symbol,Secisbp2l
pvalue,0.8477567
mouse_life_stage,Late adult
parameter_id,JAXLA_OFD_009_001
