gene_symbol,AU040320
parameter_name,Total cholesterol
parameter_id,IMPC_CBC_015_001
analysis_id,ugt10l0f2cc6z6q
mouse_strain,C57BL
pvalue,0.8982947
mouse_life_stage,Middle aged adult
gene_accession_id,MGI:2140475
