analysis_id,3vzw3g9419lggp4
gene_accession_id,MGI:2385884
gene_symbol,Ddx27
mouse_life_stage,Early adult
parameter_name,Cue Baseline % Freezing Time
mouse_strain,129SV
parameter_id,HRWLLA_FEA_015_001
pvalue,0.9104086
