analysis_id,xcq5l839nqq2436
mouse_strain,C57BL
parameter_name,Hindlimb digit - size
gene_accession_id,MGI:1274787
pvalue,0.8032215
mouse_life_stage,Early adult
parameter_id,IMPC_CSD_047_001
gene_symbol,Trdmt1
