gene_symbol,Ivd
parameter_name,Heart weight
analysis_id,d6e2l08z53o5v73
pvalue,0.4998515
parameter_id,HMGULA_HWT_008_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1929242
mouse_strain,C57BL
