analysis_id,lkp9y77a2pq3xsz
parameter_name,Resting CD8+ T cells - % of CD8+
mouse_strain,C57BL
gene_symbol,Ahcy
parameter_id,MGP_MLN_014_001
pvalue,0.7085026
gene_accession_id,MGI:87968
mouse_life_stage,E9.5
