parameter_name,Thyroxine
analysis_id,i9jc93sy36l20pg
gene_symbol,Kif24
mouse_life_stage,Early adult
gene_accession_id,MGI:1918345
parameter_id,IMPC_CBC_053_001
pvalue,0.8913098
mouse_strain,C57BL
