analysis_id,2h335x0ae5757m2
parameter_id,MGP_MLN_006_001
mouse_life_stage,Late adult
gene_accession_id,MGI:1934811
pvalue,0.3504278
gene_symbol,Nucks1
mouse_strain,C57BL
parameter_name,Resting CD4+ T helper cells - % of CD4+ T helper cells
