gene_symbol,Nucks1
analysis_id,i9889t22i074404
pvalue,0.7505656
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_HEM_006_001
parameter_name,Mean corpuscular hemoglobin
gene_accession_id,MGI:1934811
