analysis_id,26dzi00iw039doz
parameter_name,110dB startle magnitude
mouse_life_stage,Early adult
gene_accession_id,MGI:1919949
mouse_strain,C57BL
parameter_id,ESLIM_011_001_006
gene_symbol,Lime1
pvalue,0.4947566
