analysis_id,956k02ko55e7k07
mouse_strain,C57BL
parameter_id,MGP_IMM_006_001
pvalue,0.4474865
gene_symbol,Hnf4a
gene_accession_id,MGI:109128
mouse_life_stage,Late adult
parameter_name,Effector CD4+ T helper cells - % of CD4+ T helper cells
