parameter_name,LDL-cholesterol
analysis_id,n7f959395x41g67
gene_accession_id,MGI:3616086
pvalue,0.1608836
mouse_life_stage,Early adult
parameter_id,IMPC_CBC_025_001
gene_symbol,Kcng1
mouse_strain,C57BL
