gene_symbol,Bach2
parameter_id,IMPC_GPO_002_001
gene_accession_id,MGI:894679
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.7494642
parameter_name,Placenta Morphology
analysis_id,l81h09696di5e4b
