analysis_id,tmmmmev89av1y25
parameter_name,Total CD4+ T cells - % of ab T cells
mouse_strain,C57BL
gene_symbol,Cmpk1
gene_accession_id,MGI:1913838
mouse_life_stage,Early adult
parameter_id,MGP_IMM_004_001
pvalue,0.1255487
