Analysis_id,t5bk01p3u0ll5jk
parameter_id,IMPC_HEM_038_001
Gene_symbol,Casq1
Parameter_name,Basophil differential count
gene_accession_id,MGI:1309468
Pvalue,0.897983
Mouse_strain,C57BL
mouse_life_stage,Early adult
