analysis_id,4kypb5y18y56oof
mouse_life_stage,Early adult
gene_accession_id,MGI:1913506
parameter_name,CD11b-high cDC - % of CD45+
gene_symbol,Ssr2
pvalue,0.6376553
mouse_strain,C57BL
parameter_id,MGP_IMM_129_001
