parameter_name,Whole arena average speed
mouse_life_stage,Early adult
pvalue,0.4296204
parameter_id,JAX_OFD_009_001
gene_symbol,Secisbp2l
gene_accession_id,MGI:1917604
mouse_strain,C57BL
analysis_id,4zonzeq8w2zv73j
