analysis_id,z4ov42ti2gwsh5m
parameter_id,MGP_IMM_129_001
pvalue,0.8212516
mouse_strain,C57BL
parameter_name,CD11b-high cDC - % of CD45+
mouse_life_stage,Middle aged adult
gene_symbol,Frmpd1
gene_accession_id,MGI:2446274
