analysis_id,267y1k8ny2010q7
gene_symbol,Mapkap1
parameter_name,Creatinine
mouse_strain,C55BL
mouse_life_stage,E12.5
parameter_id,JAX_URI_002_001
gene_accession_id,MGI:2444554
pvalue,0.6634516
