analysis_id,6ey61t833i0i05x
gene_symbol,Casq1
mouse_life_stage,Early adult
parameter_name,Creatinine
mouse_strain,C57BL
pvalue,0.007278372
parameter_id,IMPC_CBC_005_001
gene_accession_id,MGI:1309468
