analysis_id,lekg7c1282n3339
gene_accession_id,MGI:1917604
mouse_strain,C57BL
pvalue,0.1868336
parameter_id,IMPC_IMM_006_001
parameter_name,Others
mouse_life_stage,Late adult
gene_symbol,Secisbp2l
