gene_symbol,Ddx27
gene_accession_id,MGI:2385884
parameter_name,KLRG1+ CD4- NKT cells - % of CD45+
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,MGP_IMM_094_001
pvalue,0.8873653
analysis_id,u16s7c0wol8yik4
