gene_symbol,SNRPB2
gene_accession_id,MGI:104805
analysis_id,89w2696a5wa70ik
parameter_name,Periphery average speed
mouse_life_stage,Early adult
parameter_id,HRWLLA_OFD_013_001
mouse_strain,C57BL
pvalue,0.7796289
