gene_symbol,Kdm5b
mouse_life_stage,Early adult
parameter_id,MGP_IMM_110_001
analysis_id,r59p4xz2x0yq9nb
pvalue,0.3192616
mouse_strain,C57BL
gene_accession_id,MGI:1922855
parameter_name,Transitional 1 B cells - % of CD45+
