gene_symbol,Dnajc6
analysis_id,tnxvt1564nyd5tf
pvalue,0.9621286
mouse_strain,C57BL
parameter_name,110dB startle magnitude
mouse_life_stage,Early adult
parameter_id,ESLIM_011_001_006
gene_accession_id,MGI:1919935
