parameter_name,RR
mouse_life_stage,E9.5
mouse_strain,C57BL
pvalue,0.4704406
parameter_id,IMPC_ECG_004_001
gene_symbol,Ahcy
gene_accession_id,MGI:87968
analysis_id,4745611p54lgpd6
