analysis_id,3555l23yk9qyop8
gene_symbol,Ahctf1
parameter_name,Effector CD8+ T cells - % of CD45+
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1915033
pvalue,0.3236358
parameter_id,MGP_MLN_074_001
