analysis_id,31c3818vnrx58bb
mouse_life_stage,Early adult
gene_accession_id,MGI:1914836
mouse_strain,C57BL
parameter_id,JAX_OFD_017_001
pvalue,0.1402958
gene_symbol,Ubxn11
parameter_name,Center average speed
