analysis_id,l3o292fb106s9m8
parameter_name,Pericardium Morphology
gene_accession_id,MGI:1309468
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Casq1
parameter_id,IMPC_GEL_006_001
pvalue,0.6492088
