gene_symbol,Gfi1b
parameter_name,Breath rate during sleep standard deviation
pvalue,0.779984
mouse_strain,C51BL
gene_accession_id,MGI:1276578
mouse_life_stage,Early adult
parameter_id,JAX_SLW_014_001
analysis_id,7i0ahn550x23st6
