analysis_id,624108707586k42
mouse_life_stage,Early adult
gene_accession_id,MGI:1860103
mouse_strain,C57BL
parameter_name,Gait
gene_symbol,Slc2a8
parameter_id,IMPC_CSD_033_001
pvalue,0.6934212
