parameter_id,ICS_FEA_016_001
mouse_life_stage,Middle aged adult
parameter_name,% Freezing duration habituation-1
pvalue,0.1321425
analysis_id,v12b9217127z87g
gene_symbol,Slc30a4
gene_accession_id,MGI:1345282
mouse_strain,C57BL
