gene_symbol,Ifi44
mouse_strain,C57BL
analysis_id,f13e3294s63wdas
mouse_life_stage,Early adult
parameter_id,IMPC_DXA_010_001
gene_accession_id,MGI:2443016
parameter_name,Bone Area
pvalue,0.7957907
