gene_symbol,Tatdn3
pvalue,0.8813861
mouse_strain,C57BL
gene_accession_id,MGI:1916222
parameter_id,IMPC_HEM_019_001
mouse_life_stage,Early adult
analysis_id,f7q43j53o0f3j55
parameter_name,Mean platelet volume
