gene_symbol,Trp53i11
mouse_life_stage,Early adult
parameter_id,MGP_CSD_030_001
mouse_strain,C57BL
gene_accession_id,MGI:2670995
parameter_name,Limb coat/hair presence
analysis_id,454uqj2n47r9s4e
pvalue,0.2032629
