parameter_name,Total T cell percentage
mouse_life_stage,Early adult
parameter_id,MGP_PBI_001_001
gene_symbol,Rap2b
analysis_id,2a4150s185816oq
pvalue,0.7666835
gene_accession_id,MGI:1921262
mouse_strain,C57BL
