analysis_id,4hb5900x121gl52
pvalue,0.1790357
gene_accession_id,MGI:2441730
mouse_strain,C57BL
parameter_name,Pale yolk sac
parameter_id,IMPC_GEL_017_002
mouse_life_stage,Late adult
gene_symbol,Tbl1xr1
