parameter_name,Cornea vascularisation
gene_accession_id,MGI:1338022
analysis_id,6u9y2ea9bz9c95v
gene_symbol,Opn3
mouse_strain,C57BL
parameter_id,ESLIM_014_001_008
mouse_life_stage,Early adult
pvalue,0.3669626
