analysis_id,x4kh5r3357161o5
pvalue,0.3376534
mouse_strain,C57BL
gene_symbol,Sdcbp2
parameter_name,12kHz-evoked ABR Threshold
mouse_life_stage,Early adult
gene_accession_id,MGI:2385156
parameter_id,IMPC_ABR_006_001
