parameter_id,HRWLLA_DXA_007_001
analysis_id,3607j5ms9f6y64w
gene_accession_id,MGI:2140475
mouse_strain,C57BL
parameter_name,BMC/Body weight
mouse_life_stage,Late adult
gene_symbol,AU040320
pvalue,0.7143272
