analysis_id,941994kl4y14xhq
pvalue,0.06059351
mouse_strain,C57BL
parameter_id,IMPC_DXA_003_001
mouse_life_stage,E12.5
parameter_name,Lean mass
gene_accession_id,MGI:88174
gene_symbol,Bmi1
