analysis_id,fo6d5d813flf743
gene_symbol,Cntfr
gene_accession_id,MGI:99605
parameter_id,MGP_IMM_006_001
mouse_strain,C57BL
pvalue,0.5293808
parameter_name,Effector CD4+ T helper cells - % of CD4+ T helper cells
mouse_life_stage,Early adult
