parameter_name,CV
pvalue,0.6144509
parameter_id,IMPC_ECG_003_001
gene_symbol,Trp53rkb
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1914050
analysis_id,nu07dwm60v5b2ed
