parameter_id,IMPC_CAL_008_001
mouse_strain,C57BL
gene_symbol,Rab17
pvalue,0.1258467
analysis_id,1z3wx0vs8365040
mouse_life_stage,Early adult
gene_accession_id,MGI:104640
parameter_name,Total food intake
