parameter_name,Radius
gene_accession_id,MGI:108072
parameter_id,IMPC_XRY_022_001
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,r6so58yoo90m2u2
gene_symbol,Traf6
pvalue,0.3607234
