analysis_id,i46x4x3vr43a904
mouse_life_stage,Early adult
gene_accession_id,MGI:1915524
mouse_strain,C57BL
parameter_name,Lower teeth appearance
parameter_id,IMPC_CSD_070_001
pvalue,0.06843796
gene_symbol,Toporsl
