analysis_id,h5ikdz45r106y6w
parameter_name,Fat/Body weight
gene_accession_id,MGI:1931322
gene_symbol,Car13
parameter_id,IMPC_DXA_009_001
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.5214269
