analysis_id,5t1uro49082h75b
gene_symbol,Slc30a4
parameter_name,eye size
mouse_strain,C57BL
gene_accession_id,MGI:1345282
mouse_life_stage,Middle aged adult
parameter_id,ESLIM_001_001_117
pvalue,0.5583038
