parameter_name,Embryo Size
pvalue,0.2800444
mouse_life_stage,Early adult
gene_accession_id,MGI:2443129
gene_symbol,Golm2
parameter_id,IMPC_GEO_019_001
mouse_strain,C57BL
analysis_id,lf8y3jk8r4828x2
