mouse_life_stage,Middle aged adult
gene_accession_id,MGI:1934811
gene_symbol,Nucks1
parameter_id,JAXLA_CSD_021_001
pvalue,0.4675838
parameter_name,Hindlimbs - shape
mouse_strain,C57BL
analysis_id,o6ka863der5qv2x
