parameter_id,JAXLA_OFD_017_001
mouse_strain,C57BL
gene_symbol,Gfi1b
mouse_life_stage,Early adult
parameter_name,Center average speed
gene_accession_id,MGI:1276578
analysis_id,y50935gg10093p5
pvalue,0.1384872
