gene_symbol,Nemp2
gene_accession_id,MGI:2444113
pvalue,0.7911257
mouse_strain,C57BL
analysis_id,i982s4b5d041j9r
mouse_life_stage,Early adult
parameter_id,IMPC_DXA_002_001
parameter_name,Fat mass
