analysis_id,8kvm1q326gp456v
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Effector CD4+ T helper cells - % of CD45+
parameter_id,MGP_IMM_073_001
gene_accession_id,MGI:1888742
pvalue,0.8458497
gene_symbol,Extl1
