Parameter_name,Startle response
Parameter_id,IMPC_CSD_036_001
Gene_symbol,Kif24
Pvalue,0.2308735
Mouse_life_stage,Early adult
Analysis_id,63p58p8a64iv63c
Gene_accession_id,MGI:1918345
Mouse_strain,C57BL
