analysis_id,qf4j605z2o1j151
parameter_id,JAX_OFD_017_001
pvalue,0.5174345
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Lamb3
gene_accession_id,MGI:99915
parameter_name,Center average speed
