analysis_id,rpwqh7d0g549l7n
parameter_name,Potassium
gene_symbol,Tbl1xr1
mouse_life_stage,Late adult
parameter_id,GMC_906_001_005
mouse_strain,C57BL
pvalue,0.6326553
gene_accession_id,MGI:2441730
